SpeechID	Date	CleanText	Related	Frequency	size
MEJB68202014_part1	2020-08-06	on this date 75 years ago the nuclear age arrived when the united states became the first and so far only country to use a nuclear weapon in war the scenes of death and destruction first from hiroshima and then nagasaki still horrify us three quarters of a century later they reach through history to remind us of the hideous damage nuclear weapons can inflict and our collective responsibility to ensure that such weapons are never again used.for decades american leaders of both parties have understood that the united states has a national security imperative and a moral responsibility to reduce nuclear threats including by negotiating treaties and agreements to control and eventually eliminate these weapons it was this essential diplomacy that provided strategic stability during the dangerous cold war rivalry with the soviet union and that galvanized the international community to limit the spread of nuclear weapons to additional countries it's why the obama biden administration led the diplomatic effort that put iran's nuclear ambitions under lock and key negotiated the new start treaty with russia to verifiably reduce both countries nuclear arsenals to their lowest level in six decades and reduced the dangers of nuclear terrorism through the work of four nuclear security summits.these efforts made america and her allies and partners safer but as with so much else donald trump has squandered this inheritance the trump administration has systematically eroded or abandoned multiple international agreements with no regard for the consequences and no plan for anything to	0	0	1.0
CSPANJB103202062_part4	2020-03-10	every morning motivate you because you know how much it matters i'm running for president i want to make sure we have the leadership in washington is going to have your back and i mean it our national character will not abide standing by and not doing anything while thousands of lives are cut short by gun violence in this country as president i promise you i will act i have beaten nra before twice meaningful gun safety legislation on the federal level we can do it again and i am incredibly proud if i could hold for just a second tier i am not opposed to the second amendment the second amendment is an absolute if one of you inherent yells fire and someone gets hurt they can be sued it is not free speech you are putting people in danger putting people in danger in the very beginning the second amendment did not say anybody can own any kind of weapon the idea of some of my friends and folks i encounter say the tree of liberty is watered with the blood of patriots they need hellfire by the government ar 15 is not going to do it it is not going to protect them you've got to be able to shoot straighter a shotgun will help you a lot better my point is even the members of the nra the majority no ar 15 and clips with 30 40 count of 50 100 rounds and it make	0	0	1.0
CSPANJB68202081_part5	2020-08-06	will get weapons of war and high capacity magazines out of our communities i will take the fight directly to the nra and hold them accountable for the damage they cause and hold gun manufacturers accountable for the damage they cause to latino families trump fails to understand the basic truth of immigrants that they are an incredible source of our nation's strength and they always have been all the way back to 1860 s when my ancestors jumped onto the sea not knowing where they were going not knowing whether they would make it a short all the way today way to today we are able to share the best of every culture it takes courage to lead a country of every kind of every background that is why we are who we are unlike the president we will immediately and trumps assault on the dignity of america trump's assault on the dignity of american communities our country is a safe place for asylum seekers those fleeing persecution we have never made asylum seekers seek asylum outside of the united states of america we will stop the union made practice inhumane practice of separating families from their children we will stop and did best case management programs to help ensure migrants get the support they need while they are navigating the asylum process it will cost a lot of money but it is a hell of a lot cheaper than building a wall we will restore sensible enforcement priorities	0	0	1.0
MEJB242020111_part1	2020-04-02	the economic damage from the worst public health crisis our country has faced in generations is both rising and deepening at an alarming rate it is putting working families and the american middle class through unimaginable financial pain and they need to be made whole as fast as possible my heart goes out to the millions of americans who filed for unemployment claims this week and the millions more who worry what next week holds for them donald trump is not responsible for the coronavirus but he is responsible for failing to prepare our nation for the months during which he continually neglected dire warnings from experts and downplayed the threat to us and for the erratic and unacceptably slow federal response that has tragically lagged behind other countries now we have more coronavirus cases than anywhere in the world and that is dealing body blows to our economy and to the welfare and well being of millions upon millions of americans just last week donald trump's treasury secretary referred to these kinds of job losses as not relevant but try telling that to any one of the millions of americans who are now out of work because of this crisis the economic devastation that families all across this country are experiencing by no fault of their own means we have to take extraordinary steps to protect them we need to get unemployment checks to the workers filing claims so they are made financially whole no blame games or finger	1	2	2.0
CSPANJB12102020110_part1	2020-10-12	hello toledo this feel like coming home i tell you what my dad was oil man and i got through school and we got through being able to lead after we lost a job up in pennsylvania he had to move down to delaware because my cousin was selling general motors products so in my state used to have the largest percentage of autoworkers of any state in the nation because we had a small population and the largest general motors and largest chrysler plant outside of michigan and ohio and i saw what happened when we got hit very hard we lost both those plants and when i started off by saying mister mayor thanks for supporting your city and marcy you've been a friend a long time thank you for your introduction there's no more fierce defender of the people she grew up with ben marcy she has never ever forgotten where she came from she's tough she's a straight shooter she's influential in congress she's honest and she sees you you're always in her view and tony mister president i know you're new and he said piece of cake so i don't have to worry he got elected the first hundred days but all kidding aside tony thank you for hosting us and thank you to local 14 thanks for that introduction for all you did for barack and me when we were running when we got elected jumping in and helping us stubborn you remind me	0	0	1.0
CSPANJB47201912_part5	2019-07-04	them it is not enough to be against the way donald trump conducts self and or knows who he is the way he insults women poor people we have to be against his policies that are creating division quite frankly those policies are rigging the system against the lower class and working class the majority of america no longer believe their children will have the life that they had a better life than they had that too is an attack on our democracy when that happens i know they call me low class joe but i know who built this country it was the no class that is the message i have been carrying across the country everywhere and it is clear today on a day we celebrate independence our country was not built by wall street ceos hedge fund managers it was built by all of you given have a chance think about this america has given half a chance have never let their country down not one time in history in war or peace that is the history of america giving real people realty is my dad used to have an expression he was a white collar worker and every time we moved back to delaware he said joey the job is a lot more than a paycheck it is about your dignity respect about your place in the community being able to locate your child and say it will be ok and mean it today some people	0	0	1.0
VSJB292020197_part1	2020-09-02	good afternoon everyone i'm here today to talk about a crisis that's being felt in households all across america jill and i have just been briefed by our public health and education experts about what it will take to re open our schools safely and effectively back to school is always a special time for the biden family jill's an educator and she'll be the first one to tell you that this should be a season of promise for our country a time when classrooms are crackling with the possibilities of a new year and students hopes for their futures and this year facing the most difficult circumstances we're seeing the grit and heart of our educators and students as they rise to the occasion but our government hasn't come up to that bar let me be clear if president trump and his administration had done their jobs america's schools would be open instead america's families are paying the price for his failures i've heard from parents all throughout this pandemic they're struggling to do the right thing but they're worried what does this mean for my kids is this setting back their education how will they catch up what if i'm not doing enough to help them succeed president trump may not think this is a national emergency but i do protecting our students our educators and our communities getting our schools open safely and effectively this is a national emergency but president trump still does not have a	1	1	1.58
CSPANJB28102020127_part6	2020-10-28	build on the affordable care act so you can keep your private insurance or choose a medicare like option you can make it stronger i will make it stronger with your help to lower premiums and deductibles and out of pocket expenses we will bring down drug prices to almost 2 3 of what they are by allowing medicare than to negotiate the pharmaceutical companies were making billions of dollars making the price lower when they negotiate medicare says we will only pay you x amount for the following medicines that will lower prices drastically making them available to everyone.we will make sure every american has access to free covid 19 vaccines this is not beyond our capacity if we come together we can stand together if we stand together as a united states the united states democrats republicans and independents we can transcend old divisions and show what's possible there is nothing beyond our capacity there is no limit to america's future if i'm elected president as i said yesterday in warm springs georgia i will be a president who is not in it for himself but for others a president who doesn't divide us but unites us a president who appeals not to the worst in us but the best in us a president who looks not to settle scores but to find solutions a president guided not by wishful thinking but by science reason and facts even if i win it's going to take a lot of	1	1	1.58
CSPANJB31102020135_part9	2020-10-31	support them i have been in and out of war zones as senator and vice president over 35 times i will tell you what these folks we have only 1 of the country is in the military we over them they are the backbone the sinew the heart of who we are that is why we have to support our military and get rid of trump folks you know i want to tell you something think about this this is a guy who says there is no such thing as climate change he calls it a hoax i see it as jobs health and safety the impacts on climate art on climate too often fall disproportionately on communities of color we will make sure they benefit from the billions of federal investment we will do we will create local jobs to rebuild roads build sidewalks install broadband create places to live and work safely modernize infrastructure so you can turn on the water and clean water comes out so that what happened in flint will never happen again in america we can and must do this donald trump has rolled back more than 100 environment protection laws many enacted under barack and me it will also hold polluters accountable with the most ambitious environmental plan ever protesting is not burning or polluting violence cannot be tolerated and it won't but these protests are a cry for justice the names of george floyd breonna taylor jacob blake will inspire a new	0	0	1.0
CSPANJB30102020134_part2	2020-10-30	earlier your governor leading minnesota with decency and integrity one of the outstanding members of congress let's send her back to the house of representatives we need her badly and your incredible junior senator tina smith she has got to go back and look let's win back the minnesota state senate while we are at it one of the nation's finest leaders in a dear friend i've been honored to stand alongside and fight together for a long time senator amy klobuchar amy i love you thank you yesterday and florida had a chance to spend a little more time with another in another minnesota icon carl anthony towns boy he can play man you know him as the heart and soul of the timberwolves but he's also a son who like many other americans lost his mom to covid 19 a couple of months ago for all those sons and daughters those parents siblings husbands and wives facing empty chairs at dining room tables all of those who reach over at night to say good night to their husband or wife they deserve so much better these guys are not very polite but they are like trump they are going to be ok we are going to take care of them as well we need to come together and fight for all these folks we have four days left to get it done four days millions of americans already voting millions more will vote by tuesday and i believe	0	0	1.0
CSPANJB159202092_part8	2020-09-15	so much more than just defeat donald trump we have to seize this opportunity to build back better for all of our communities because at the end of the day all the american people are looking for is a shot my dad would say the american people given half a chance would never never ever let the country down i truly believe we have a tremendous opportunity in this moment of crisis that on health care wages housing education and so much more we can reach for more as a nation we can rebuild the backbone of this country and finally bring everybody along we can build a new administration that reflects the full diversity of our nation including hispanic communities especially right here in florida hispanic votes can help put our nation on a path moving forward there are now 49 days left until election day i am asking for your vote i'm going to work very hard every day to get it and i first ran as a kid i would knock on the door and say my name is joe biden i'm running for the united states senate look me over if you like what you see and hear what i say vote for me here in florida i am saying look me over again i hope each and every one of you gets involved in this election it sounds like hyperbole exaggeration but our democracy depends on every voice being heard and every vote being counted	0	0	1.0
VSJB1012202034_part2	2020-12-10	social distancing and limiting their travel over the holidays together we will find more bright lights through the dark times	0	0	1.0
CSPANJB12202042_part7	2020-02-01	we need a president who is ready on day one who can take command of our forces who can repair our relationship with our allies and once more make the u.s the envy and leader of the free world i really mean this i know what you all thought i never thought it would get this bad i really didn't i had no expectations i'm not being a wise guy i'm being deadly earnest remember what he said right after he was elected this is harder than writing a real estate empire bless me father seriously that's what he said i said this must be a joke turns out it is a different joke we have so much we have to do the middle class is getting crushed i come from families just like you did three bedroom split liver home split level home for kids dad took three years after he moved from scranton to find a job so he can buy a house we weren't poor but we lived paycheck to paycheck my dad still believed anything was possible he got all four of his kids to college he always believed everyone had a right to be treated with dignity you know what the middle class today is getting crushed we are no longer the wealthiest middle class in the world and the middle class over half of the people in the middle class think of their children will never live to have the same standard of living	0	0	1.0
CSPANJB1610201925_part2	2019-10-16	better than you the way you embraced my son and me when things happened that means a lot i see so many familiar faces and you have cindy her lung cashier estate representative and for her to be here and of all the roles the united states has to fill there was one that is more consequential than any other that's to be commander in chief of the united states of the commander of united states military it is a sacred duty and not something that is done or looked at so i hope you understand it's important that i make a serious speech that will take about 25 minutes about american foreign policy and why i am so concerned about our security and the climate of the united states military the power to deploy the most powerful military in the history of the world never been more confident warriors or a more confident military than what we have it is not an ego booster or ratings booster you take the yacht oath of office to swear responsibility to our troops and their families the only sacred obligation we have is to protect those we send to war to care for them when they come home and their families when they are gone they risk their lives so their government can work another responsibility is that when a commander in chief it's for an overwhelming national security purpose and also drive responsibility to our allies and to our partners in	0	0	1.0
CSPANJB30420192_part14	2019-04-30	happen anyways i go back to the roth camp stuff i predicted what would happen the next thing would be we have this tried to this gigantic deficit we can't sustain it so we have to find cuts where do they go the social safety net they go with medicare medicaid social security mark my words if he is reelected and the republicans gained control keep control of the senate this is going to be the battle of our lives if i'm president it will not happen it will not happen we need to get rid of these capital gains cuts and loopholes for the super wealthy warren buffett a billionaire said it he pointed out because they capital gains treatment i get i paid a lower tax rate than my secretary how can that possibly be justified how can it be justified folks look the fact of the matter is we should be rewarding work not just wealth we have to finish the job on health care when we passed the affordable care act i told president obama it was a big deal or something to that effect but folks i want to stop and say something that i do not think is said often enough president obama has extraordinary character really i mean it extraordinary integrity a man of absolute decency he was president our kids could had someone to look up to i was proud every day every day as i stood next to him as his	0	0	1.0
MEJB26202065_part1	2020-06-02	i can't breathe i can't breathe george floyd's last words but they didn't die with him they're still being heard they're echoing across this nation they speak to a nation where too often just the color of your skin puts your life at risk they speak to a nation where more than 100,000 people have lost their lives to a virus and 40 million americans have filed for unemployment with a disproportionate number of these deaths and job losses concentrated in black and brown communities and they speak to a nation where every day millions of people not at the moment of losing their life but in the course of living their life are saying to themselves i can't breathe it's a wake up call for our nation for all of us and i mean all of us it's not the first time we've heard these words they're the same words we heard from eric garner when his life was taken six years ago but it's time to listen to these words understand them and respond to them with real action the country is crying out for leadership leadership that can unite us leadership that can bring us together leadership that can recognize the pain and deep grief of communities that have had a knee on their neck for too long but there is no place for violence no place for looting or destroying property or burning churches or destroying businesses many of them built by people of color who	0	0	1.0
CSPANJB2310201928_part13	2019-10-23	to do about the insurance this administration has no idea what hard working decent ordinary americans are going through you know a parent how many of you moms or dads grandpas are grandmas or grandmas drop off your child or grandchild the first day of school preschool first second third or fourth grade in america having to learn how to duck and cover telling kids you get behind this pillar here if someone comes in you know the greatest concern i spoke to the international psychiatric association and the american psychiatric association in london you know the generation that has the greatest degree of anxiety of any generation in america kids between seven and 20 years old you know what their greatest fear is being shot in school no not a joke being shot in school you saw all of the pictures of going back to school about kids at the new schools we are building that's all because we don't have the nerve to take on the damn nra and the gun manufacturers there is no need folks there's no need for this some of you are hunters i've got shotguns my sons are hunters mainly geese you know if you go out and hunt for geese you're not allowed to have in your shotgun more than three shells to protect the geese we have federal laws that protect geese think about it why in god's name should anyone be able to have a clip that holds 100 rounds	0	0	1.0
